Date,Message
29.11.2024 22:54:53 UTC+03:00,"✅Состав “bros team” на завтрашнийУже завтра состоится матч реванш: «XK TEAM» VS “BROS TEAM”Наш состав на матч:🥶Николай Сивухин - правый защитник🥶Марков Артём - левый защитник😬Клименков Илья - центральный полузащитник🔥Кошкарёв Антон - форвард🔥Александр Зюбин - капитан, форвард⚽️Симонов Кирилл - тренер, универсальный игрок👹Иван Светлышев - вратарьНаши медиа:📸Албутова Ксения📸Горбовская ВалерияПрямая трансляция матча пройдёт на нашем ютуб канале в 16:20.https://youtube.com/vimartex?si=_illNxQQDI3kFOJfНа матче отсутствует большинство наших игроков по уважительным причинам, скоро они вернутся!Вперёд бросы - 🔥Наш тгк:https://t.me/brosteamtopНаш ютуб:https://youtube.com/vimartex?si=_illNxQQDI3kFOJf"
29.11.2024 22:59:41 UTC+03:00,"В Мурманске скандал: местные паблики пишут о том, что из одной школы отчислили ряд учеников из-за того, что они состояли в канале «Подслушано (номер школы)». Якобы подростков вызвали к завучу, у всех осмотрели содержимое телефонов, после чего ряд школьников были отчислены. Были ли среди этих учеников настоящие создатели канала на данный момент неизвестно.Если среди моих подписчиков есть ученики этой школы, напишите в бота пж. Интересно, что было на самом деле"
29.11.2024 22:59:49 UTC+03:00,надеюсь у нас так не будет
30.11.2024 11:36:48 UTC+03:00,"sonikkk_sofя бы носил тебя на руках, даже если бы руки устали"
30.11.2024 14:55:14 UTC+03:00,С кем Рита
30.11.2024 15:27:12 UTC+03:00,https://t.me/c/2455368652/61С каким-то пацаном с 10д
30.11.2024 16:56:28 UTC+03:00,"друзья, очень прошу каждого пройти этот опрос и по возможности распространить!!(это нужно для школы)https://docs.google.com/forms/d/e/1FAIpQLSc5hfqDWPSwS-v3MDVgviNllu-Akug9IGyAqTRi9622_qplvw/viewform"
30.11.2024 20:21:15 UTC+03:00,надо срочно акб 18350 у кого есть напишите в коменты пожалуйста срочно
30.11.2024 20:22:19 UTC+03:00,52💗💋
30.11.2024 23:22:50 UTC+03:00,Кидаем ссылку друзьям и в свои тгк
30.11.2024 23:30:55 UTC+03:00,легендарный никита камень
01.12.2024 14:10:42 UTC+03:00,"Недрочабрь прошел, лайк кто продержался"
01.12.2024 14:10:54 UTC+03:00,"пися, попа, помидорыу Арешкиной страпоны"
01.12.2024 14:49:53 UTC+03:00,У кого осталась работа ЕКР за 15 октября скиньте
01.12.2024 17:56:11 UTC+03:00,мы учимся 4 декабря ?
02.12.2024 11:48:22 UTC+03:00,монстр перхоти
02.12.2024 11:50:26 UTC+03:00,
02.12.2024 11:50:42 UTC+03:00,всем сделали печать «хуйня переделывай?»
02.12.2024 13:18:18 UTC+03:00,ну секс
02.12.2024 15:20:20 UTC+03:00,
02.12.2024 17:01:33 UTC+03:00,https://t.me/c/2455368652/76Бог фимоза Иван Светлышев
02.12.2024 20:54:23 UTC+03:00,
03.12.2024 11:59:22 UTC+03:00,
03.12.2024 15:32:07 UTC+03:00,
04.12.2024 11:39:36 UTC+03:00,
04.12.2024 11:39:43 UTC+03:00,
04.12.2024 17:18:31 UTC+03:00,
04.12.2024 17:40:25 UTC+03:00,❗
04.12.2024 21:32:56 UTC+03:00,теперь новый/е админ/ы
04.12.2024 21:37:19 UTC+03:00,кто нибудь находил перцовку в 33б?
04.12.2024 21:40:01 UTC+03:00,"https://t.me/c/2455368652/88да,в мусоропроводе"
05.12.2024 14:22:42 UTC+03:00,с кем я перепутала рюкзак в клеточку черный
05.12.2024 14:22:51 UTC+03:00,Кто его к параше загнал?
05.12.2024 14:23:01 UTC+03:00,Требуем больше постов!!!!🕺🕺🕺
05.12.2024 14:26:42 UTC+03:00,У меня одного после ухи в столовой жопу рвет и живот бурлит?
05.12.2024 14:46:07 UTC+03:00,
05.12.2024 15:14:25 UTC+03:00,Требую письку админа
05.12.2024 18:39:37 UTC+03:00,Что происходит на 4 этаже в 24а?
06.12.2024 08:06:47 UTC+03:00,597 раздает кринжа😈😈😈😈
06.12.2024 08:08:17 UTC+03:00,Кто-нибудь находил учебник по алгебре белый в 203 или 305 кабинете?
06.12.2024 08:12:17 UTC+03:00,У кого была кр по географии у Черпак?
06.12.2024 09:56:58 UTC+03:00,у кого была кр у кульшан?
06.12.2024 09:57:12 UTC+03:00,
06.12.2024 09:57:22 UTC+03:00,какие классы едут в театр сегодня?
06.12.2024 09:59:46 UTC+03:00,https://t.me/c/2455368652/100щас будет
06.12.2024 10:59:26 UTC+03:00,
06.12.2024 10:59:31 UTC+03:00,https://t.me/c/2455368652/103можете скинуть задания потом 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
06.12.2024 12:25:17 UTC+03:00,самомтоялка по физике 9 класс
06.12.2024 12:29:03 UTC+03:00,
06.12.2024 14:15:52 UTC+03:00,https://t.me/c/2455368652/107кто учитель ?
06.12.2024 16:42:54 UTC+03:00,"10тым классам официально отменили дискотеку, об это говорили сегодня на встрече в атриуме. а теперь вопрос, какого хуя? 😭"
06.12.2024 16:43:57 UTC+03:00,"ребят,харе девочку доебывать, 10 человек на одну ,че за бред вообще ,ведите себя норм позорищавы реально считаете смешным то , что она просто захотела с кем то познакомиться? пиздец уссачкаи девочки , которые постоянно плетутся около компании Вани , у вас вообще никакой женской солидарности нет? вы разве на себе представить не можете , как другой девочке может быть обидно , когда ее буквально задирают при любой возможности , упоминая эту ебучую ситуацию?😺и сам Ваня еще та тряпка,ни слова сказать не можешь , когда твоя компания дегенератов валит одну девочкузассал или че? ни разу от тебя писка никакого слышно не было , только в стороночке стоишь хихикаешь и помалкиваешь"
06.12.2024 17:42:23 UTC+03:00,
06.12.2024 20:05:23 UTC+03:00,
07.12.2024 23:06:39 UTC+03:00,у кого была самостоятельная с арешкиной скиньте
07.12.2024 23:06:51 UTC+03:00,хули хотят дискотекц и у 9 отменить??
07.12.2024 23:07:24 UTC+03:00,Чел с нашего района
07.12.2024 23:07:34 UTC+03:00,"подскажите пожалуйста, где можно купить эту белую кофту?"
07.12.2024 23:08:58 UTC+03:00,"https://t.me/c/2455368652/115да не отменят нихуя,всем похуй"
07.12.2024 23:09:15 UTC+03:00,https://t.me/c/2455368652/115
07.12.2024 23:10:42 UTC+03:00,"https://t.me/c/2455368652/115бля такое разводилово чтобы в этом верить. такое каждый год происходит, успокойтесь"
07.12.2024 23:15:38 UTC+03:00,"https://t.me/c/2455368652/120лидка и дарья анатольевна, при мне решали этот вопрос. сказали если 9 классы не изменятся то им дискотеку не ведать. будет только у 6,7,8 и все"
07.12.2024 23:19:10 UTC+03:00,"Да они тупые,они нас запугивают. Администрация говорила,что не отменят,но могут запретить мриходить некоторым классам"
07.12.2024 23:22:15 UTC+03:00,"https://t.me/c/2455368652/121Про Радема тоже говорили что то, я слышала"
07.12.2024 23:25:20 UTC+03:00,"https://t.me/c/2455368652/122нам тоже говорили что не пойдут только те классы, кто не будет соблюдать правила, те классы и не пойдут, остальные идут"
07.12.2024 23:35:13 UTC+03:00,"в атриуме в пятницу 10 классам мозги ебали,что у них не будет дискотеки,тк не соблюдают правила (курение в туалетах,отсутствие сменки и карт,что не участвует большинство в активностях шк и тп)"
07.12.2024 23:38:19 UTC+03:00,https://t.me/c/2455368652/125вроде не из-за этого. Вроде 10 класс что-то сломал в новом здании и им без разбора отменили дискотеку
07.12.2024 23:44:08 UTC+03:00,https://t.me/c/2455368652/126Это я сломал
08.12.2024 00:15:39 UTC+03:00,https://t.me/c/2455368652/126НИКТО НИЧЕГО НЕ ЛОМАЛ!!!!
08.12.2024 01:50:27 UTC+03:00,У тебя новое анонимное сообщение!https://t.me/c/2455368652/126НИКТО НИЧЕГО НЕ ЛОМАЛ!!!!НЕПРАВДА ПЕТЯ СЛОМАЛ СТОЛ ДЛЯ МАЛОГО ТЕНИСА
08.12.2024 01:50:35 UTC+03:00,Кто разбил окно в новом здании?(достаточно давно)
08.12.2024 08:59:35 UTC+03:00,Блин вы че угараете? Эта дискотека многим нах не сдалась… Будет как в прошлом году и позапрошлом одна музыка подобранная дебилами и все. Толку от них если приходят одни пососы к учителям и тд.
08.12.2024 16:26:22 UTC+03:00,Просто они реально нечего не могу даже та же банальная пицца. В том году говорили что запретили её. На входе проверяли. Я пришла с водой а они думали это водка.
08.12.2024 17:44:27 UTC+03:00,"Типы реально ноют что отменили никому не нужную дискотеку. Если так хочется «потуссить» – арендуйте банкетный зал в ресторане и посидите с кайфом в своей компании, а не с кучей долбоебов в тухлом актовом зале"
08.12.2024 18:15:40 UTC+03:00,"Не знаю, мне нравятся школьные дискотеки. Да, не самая лучшая тусовка, но мне лично они нравились, по крайней мере в прошлых годах."
09.12.2024 16:29:59 UTC+03:00,Мутации же убрали
09.12.2024 19:25:58 UTC+03:00,"каток на речном открыт в понедельник? В картах пишет что открыто до 22 ,но страшно что щас поедем а там санитарный день"
09.12.2024 19:39:52 UTC+03:00,
09.12.2024 20:18:48 UTC+03:00,Сфс и давид лучшая пара 1474
09.12.2024 22:26:41 UTC+03:00,Скиньте юз модера из беседы кто знает
10.12.2024 11:59:35 UTC+03:00,http://kornev-school.ru/f9_law_of_energy_conservation.htmlвот тут некоторые задачи есть из самостоятельной по физике  у турбиной
10.12.2024 12:01:35 UTC+03:00,https://t.me/c/2455368652/151а может и все
10.12.2024 13:13:12 UTC+03:00,
10.12.2024 14:35:14 UTC+03:00,Открываю двери без ключа
10.12.2024 17:22:20 UTC+03:00,"А мальчик в светлом свитере и с восьмёркой на спине, и девочка с черными волосами встречаются?"
10.12.2024 17:22:38 UTC+03:00,Какие классы сейчас в школе??
10.12.2024 17:22:43 UTC+03:00,https://t.me/c/2455368652/153Этот бро нашел золото
10.12.2024 17:25:51 UTC+03:00,у кого есть фото работы по физики у орешкиной ?
10.12.2024 22:00:08 UTC+03:00,🤫
10.12.2024 23:21:26 UTC+03:00,
10.12.2024 23:21:36 UTC+03:00,есть работа по обж у комарова?
10.12.2024 23:21:51 UTC+03:00,Для уверенности приклеили?
10.12.2024 23:22:03 UTC+03:00,Радем сегодня разгавкался на 1
10.12.2024 23:27:23 UTC+03:00,а что за пиздец с 33б произошел за 3 месяца? вы совсем поахуевали? не сри так где живешь как говорится
11.12.2024 08:25:59 UTC+03:00,https://t.me/c/2455368652/163
11.12.2024 12:52:20 UTC+03:00,"У николь из 8н завтра день рождение, поздравьте её пожалуйста"
11.12.2024 13:34:10 UTC+03:00,Зачем вы разозлили Людмилу Юрьевну
11.12.2024 13:34:24 UTC+03:00,
11.12.2024 14:18:59 UTC+03:00,
11.12.2024 14:19:49 UTC+03:00,"срочно, кто писал см по обществу, марина марковна"
11.12.2024 14:23:27 UTC+03:00,"https://t.me/c/2455368652/175черпак, география"
11.12.2024 16:09:23 UTC+03:00,
11.12.2024 16:14:00 UTC+03:00,лпшки
11.12.2024 16:14:05 UTC+03:00,😄😄😄
11.12.2024 16:16:11 UTC+03:00,https://t.me/c/2455368652/179у медведевой лп чернова
11.12.2024 16:41:12 UTC+03:00,https://t.me/c/2455368652/181И тихомирова
12.12.2024 09:03:49 UTC+03:00,"ВЫ СЛЫШАЛИ О ПРЕМИИ SLAAAAY В 1474 ⁉️⁉️⁉️📍король и королева школы📍лучшая пара📍кринж года📍самый главный сквад📍мем года📍спортсмен года📍активист годаоб этом всем вы можете узнать,если поддержите,разошлете и распространите это, как можно быстрее❗️ОБ ЭТОМ ДОЛЖЕН ЗНАТЬ КАЖДЫЙ ❗️я верю вас,разнесите эти СПЛЕТНИ!!!!!!"
12.12.2024 09:25:05 UTC+03:00,работа у медведевойлист с двух сторон
12.12.2024 09:50:13 UTC+03:00,кто писал ср по импульсу и механич. работе у Арешкиной?
12.12.2024 09:52:39 UTC+03:00,
12.12.2024 10:14:22 UTC+03:00,"дебилы на 33б нахера вы толчки ломаете на первом только мужской остался, воняет и пахнет всякими разными вейпами, притон какой то комната для дебилов и курильщиков"
12.12.2024 10:27:11 UTC+03:00,https://t.me/c/2455368652/189потому что у меня задний бампер поджимает
12.12.2024 11:18:32 UTC+03:00,"Дарья Анатольевна шлюха дырявая, занбала туалеты проверить на 33б причем только мужские"
12.12.2024 11:18:46 UTC+03:00,С ДНЕМ РОЖДЕНИЯ НИКОЛЬ 8н
12.12.2024 11:18:54 UTC+03:00,"https://t.me/c/2455368652/189ну вот реально, вы боитесь что ваше говно спиздят? поэтому ломаете?"
12.12.2024 11:19:08 UTC+03:00,https://t.me/c/2455368652/183Кринж года будет 100% РадемЖдем награждение
12.12.2024 13:17:57 UTC+03:00,https://t.me/c/2455368652/183где номинация «секс года» ?
12.12.2024 13:18:08 UTC+03:00,https://t.me/c/2455368652/194радем ждет приглашения
12.12.2024 13:18:14 UTC+03:00,Го милазде на дискотеку позовём
12.12.2024 13:29:37 UTC+03:00,Лучше сигмо боя и нкея позвать а не меладзе 🐒🐒🐒🎀🎀🫦🫦🫦
12.12.2024 14:52:00 UTC+03:00,изгой
12.12.2024 14:59:30 UTC+03:00,https://t.me/c/2455368652/203
12.12.2024 23:22:01 UTC+03:00,
12.12.2024 23:22:22 UTC+03:00,
12.12.2024 23:22:29 UTC+03:00,"Дайте юз Кирилла из Айти класса вроде класс «я», очень понравился😍🥰"
12.12.2024 23:24:18 UTC+03:00,
12.12.2024 23:48:35 UTC+03:00,кидайте свои рекорды в блок бласт под этим постом
13.12.2024 00:11:28 UTC+03:00,https://t.me/c/2455368652/209
13.12.2024 00:11:38 UTC+03:00,Петрашка🤑
13.12.2024 09:25:40 UTC+03:00,дайте юз андрея кадета марков вроде фамилия пж
13.12.2024 09:26:24 UTC+03:00,Контрольная по твисту а Анны Андреевны
13.12.2024 12:23:28 UTC+03:00,
13.12.2024 13:19:14 UTC+03:00,
13.12.2024 13:19:20 UTC+03:00,каплиглазики scp типа
13.12.2024 13:38:59 UTC+03:00,Работа по географии
13.12.2024 13:39:06 UTC+03:00,Это самый лучший мед персонал спасибо им больше
13.12.2024 16:40:19 UTC+03:00,У кого ведет английский Портнова?
15.12.2024 12:22:55 UTC+03:00,скиньте кр у Анастасии Андреевны по химии🙏
15.12.2024 12:43:45 UTC+03:00,Киньте самост по физике 9 класс которая была у торбиной
15.12.2024 14:09:22 UTC+03:00,киньте самост по физики у арешкиной пж
15.12.2024 14:09:35 UTC+03:00,"X ебанное чмо которые не может вывести разговор 2х1 и все его аргументы это одно сплошное замирание матери, и ни 1 адекватного аргумента он не способен вынести из своего блядского рта"
15.12.2024 14:17:32 UTC+03:00,wennnir вот он истинный фанат X
15.12.2024 14:36:11 UTC+03:00,
16.12.2024 07:42:13 UTC+03:00,"дайте тг нефора из 9а вроде, как зовут хзон обычно тусуется с гошей, адольфом или как там его, и викой🙏🏻🙏🏻"
16.12.2024 09:26:45 UTC+03:00,
16.12.2024 13:23:43 UTC+03:00,Золотые яйца
16.12.2024 14:03:43 UTC+03:00,помогите найти!! 33б из 9п класса
16.12.2024 14:14:44 UTC+03:00,
16.12.2024 14:14:51 UTC+03:00,
16.12.2024 15:05:40 UTC+03:00,https://t.me/c/2499435707/1674ну конечно другалечек
16.12.2024 19:21:14 UTC+03:00,"Хочу стать изгоем, посоветуйте какой водный пистолет покупать, чтобы не протекал и норм стрелялЛучше дайте арт на вб 🐦🐦"
16.12.2024 22:04:30 UTC+03:00,
16.12.2024 22:05:38 UTC+03:00,контроль по англу у кого был скиньте что там
16.12.2024 22:58:07 UTC+03:00,новый президент ниче такой кстати)
17.12.2024 07:51:34 UTC+03:00,дайте юз
17.12.2024 07:51:40 UTC+03:00,
17.12.2024 07:51:45 UTC+03:00,
17.12.2024 11:22:12 UTC+03:00,
17.12.2024 11:22:19 UTC+03:00,"кто писал кр по английскому,скиньте пожалуйста"
17.12.2024 11:24:26 UTC+03:00,самостоятельная по физике
17.12.2024 11:25:23 UTC+03:00,https://t.me/c/2455368652/247у турбиной
17.12.2024 13:13:04 UTC+03:00,"Ребят, кто писал пробник по обществу, что повторить надо?"
17.12.2024 13:13:14 UTC+03:00,скиньте пожалуйста ответы на кр по английскому у Носовой
17.12.2024 17:08:54 UTC+03:00,
17.12.2024 17:09:34 UTC+03:00,Есть самостоятельная по полномочиям по общаге (Хамина Карина Николаевна)?
17.12.2024 17:17:09 UTC+03:00,Скиньте пж рубежный контроль по английскому у Ткаченко
17.12.2024 17:35:01 UTC+03:00,https://t.me/c/2455368652/251Сука я чуть все штаны не обкончал пока до туалета бежал она такая секси💕❤️‍🔥💋💋🫦🫦♿🚼🛃🚾🔞🔞🔞🇮🇱🇮🇱
17.12.2024 19:00:51 UTC+03:00,скиньте кр по химии Анастасии Андреевны 9 класс🙏
18.12.2024 08:14:35 UTC+03:00,скиньте пожалуйста рубежный контроль 9 класс
18.12.2024 08:15:20 UTC+03:00,я ебал рот советниц на 24а
18.12.2024 08:15:38 UTC+03:00,"Что за игра под колпаком на 33б?Кто уже проходил,расскажите,что там было"
18.12.2024 08:15:51 UTC+03:00,Скиньте пж рубежгый контр по англ у портновой
18.12.2024 08:16:38 UTC+03:00,"люди с 33б, пж забульте белькова из 8 н, этот чертила написал ложную заяву на двух человек и на еще одного настоящую, им теперь фсб занимается, а сам бельков перевелся в научный класс на 33б и стал там всем рассказывать о том, как избил всех парней нашегг класса, чуть ли не на колени нас поставил, хотя единственный с кем он у нас дрался был горбунов, который белькову в кабину накидал"
18.12.2024 08:16:50 UTC+03:00,что будет если я пропущу уроки все без записки и так далее
18.12.2024 09:22:31 UTC+03:00,https://t.me/c/2455368652/257че случилось?
18.12.2024 09:24:03 UTC+03:00,
18.12.2024 09:25:48 UTC+03:00,https://t.me/c/2455368652/2662 вариант рубежного контроля у носовой с ответами но хз насколько правельные
18.12.2024 09:37:52 UTC+03:00,https://t.me/c/2455368652/267а еть у кого то 1 вариант?
18.12.2024 09:38:00 UTC+03:00,Киньте кто нибудь ответы на рубежный контроль по англу углублённого уровня🙏🙏🙏💔💔💔
18.12.2024 09:46:09 UTC+03:00,Светлана Анатольевна это ужас
18.12.2024 10:11:06 UTC+03:00,модераторша аня секс
18.12.2024 10:28:43 UTC+03:00,33б никто не находил железное кольцо с драконом?? если найдете отнесите на охрану пожалуйста
18.12.2024 10:35:53 UTC+03:00,
18.12.2024 11:03:58 UTC+03:00,а 1 варианта на рубежный контроль по английскому нету ни у кого?
18.12.2024 11:04:30 UTC+03:00,чье ?
18.12.2024 11:38:16 UTC+03:00,
18.12.2024 11:38:44 UTC+03:00,https://t.me/c/2455368652/276свечи поджечь забыли
18.12.2024 12:15:38 UTC+03:00,"https://t.me/c/2455368652/276ты нахуя еду испортил, долбоеб"
18.12.2024 12:15:43 UTC+03:00,
18.12.2024 12:15:54 UTC+03:00,https://t.me/c/2499435707/1943?thread=1940это в раздевалке на 33б
18.12.2024 13:08:12 UTC+03:00,"https://t.me/c/2455368652/275что и ожидалось от долбоебов с 9л и айти класса кидают снюс на каждой перемене, скоро торчать в школе будут"
18.12.2024 13:08:44 UTC+03:00,Точно не рыбу которая летает на каждом уроке от 8Н после которой воняет в классах
18.12.2024 13:08:56 UTC+03:00,геморойчик❤️
18.12.2024 13:40:36 UTC+03:00,У кого нибудь есть фото олега из 7и?
18.12.2024 14:04:20 UTC+03:00,"Аоаоа замутили, что такое троль? Скажите пожалуйста"
18.12.2024 14:04:30 UTC+03:00,"Аоаоа замутили, что такое троль? Скажите пожалуйста"
18.12.2024 16:38:40 UTC+03:00,
18.12.2024 16:38:46 UTC+03:00,
18.12.2024 20:26:17 UTC+03:00,"Ааа забанили в чате за докс а докса не было((( блятьхпххп хпхпхпхпхахШтирлиц люблю тебя, сегодня виделись кстати"
19.12.2024 07:45:41 UTC+03:00,Скиньте пожалуйста работу по полномочиям кто писал
19.12.2024 07:46:08 UTC+03:00,Наша будующая дискотека
19.12.2024 10:37:12 UTC+03:00,
19.12.2024 10:38:12 UTC+03:00,https://t.me/boost?c=2455368652Киньте буст кому не сложно пожалуйста 🙏🙏
19.12.2024 13:45:47 UTC+03:00,
19.12.2024 13:45:59 UTC+03:00,девочки из 9г протаранили стул‼️‼️‼️
19.12.2024 13:46:10 UTC+03:00,Кто пепельницу в туалете забыл?
19.12.2024 14:20:22 UTC+03:00,я и кто
20.12.2024 08:22:31 UTC+03:00,"11 классы, спасибо за отмену 7-ых уроков🤝"
20.12.2024 08:22:46 UTC+03:00,я так и не понял кто такой наушник
20.12.2024 13:47:00 UTC+03:00,https://t.me/c/2455368652/302это про что
20.12.2024 13:47:06 UTC+03:00,зимон хватит до евы доебываться🖕🏻🖕🏻🖕🏻
20.12.2024 17:06:45 UTC+03:00,чей краш ?
20.12.2024 19:03:08 UTC+03:00,"«Солидность сегодняшнего дня» - сказал человек который на лыжах второй раз в жизни стоит, позер ахахаххаха"
20.12.2024 19:03:16 UTC+03:00,9ые давайте разъебите там в понедельник
20.12.2024 19:03:44 UTC+03:00,бкб и ульт по продамаженному морфу только с титанов открывается
20.12.2024 19:04:38 UTC+03:00,Кирилл Горбунов пердит в детские коляски🤮🤮
20.12.2024 23:42:48 UTC+03:00,Когда у нас дискотека(девятые классы) и где?
20.12.2024 23:43:11 UTC+03:00,"кто учится с челом из 9, светленький такой, длинные светло-русые волосы по шею и светлые глаза, как зовут его??"
20.12.2024 23:43:24 UTC+03:00,https://t.me/c/2455368652/306Угадайте кто это 😂
20.12.2024 23:43:29 UTC+03:00,
21.12.2024 20:46:17 UTC+03:00,"по новой, чел из 9 светлые глаза, волнистые русые волосы до ключиц и в пятницу в футболке трешер был или лонгслив, не помню уже.пжжж скажите какой класс и как зовут"
21.12.2024 21:01:17 UTC+03:00,https://t.me/c/2455368652/314Ребров Алексей 9п
21.12.2024 23:55:03 UTC+03:00,"Дайте юз девочки с полосатыми прядками с 33б пожалуйста, она очень милая"
22.12.2024 17:23:43 UTC+03:00,
23.12.2024 09:04:27 UTC+03:00,У кого есть рубежный контроль по английскому у Судоровой Тамары?
23.12.2024 09:04:43 UTC+03:00,Осталось 1к часов на афкашить
23.12.2024 09:04:50 UTC+03:00,
23.12.2024 09:04:57 UTC+03:00,дайте вайбер понравился 😺😺😺
23.12.2024 10:26:55 UTC+03:00,
23.12.2024 10:27:12 UTC+03:00,
23.12.2024 10:27:23 UTC+03:00,рубежная контрольная работу у судоровой тамары сергеевны
23.12.2024 12:13:03 UTC+03:00,"скидывайте свои тгк посмотреть хочу, реакции поставлю!"
23.12.2024 12:30:09 UTC+03:00,https://t.me/c/2455368652/326ни.. я стесняюсь 👉🏻👈🏻
23.12.2024 18:59:00 UTC+03:00,Матвей слоняра
23.12.2024 18:59:15 UTC+03:00,
23.12.2024 18:59:57 UTC+03:00,
23.12.2024 19:00:05 UTC+03:00,
23.12.2024 19:00:14 UTC+03:00,на 33 б лидка шманает на запрешенку осторожно
23.12.2024 19:00:23 UTC+03:00,и ещё без заявления не пропускают
23.12.2024 19:00:38 UTC+03:00,
23.12.2024 19:00:46 UTC+03:00,Кто потерял?#
23.12.2024 20:13:27 UTC+03:00,"блять хуйня дискотека,деже лезгинку не включили"
23.12.2024 20:13:43 UTC+03:00,кто делал видео 9 С
23.12.2024 20:29:52 UTC+03:00,че за херня с кем танцевала нмт?
23.12.2024 20:29:58 UTC+03:00,Чо за чел в маске Паши техника?
23.12.2024 20:46:29 UTC+03:00,
24.12.2024 09:01:07 UTC+03:00,У Ромы Бернштейна есть девушка ? Без шуток . Или он по мальчикам ???
24.12.2024 09:01:24 UTC+03:00,"че только на дискотеке не было и косплеи ( из фнафа и аниме вроде) , и люди в касках ну и конечно же чел с маской на лице"
24.12.2024 09:06:27 UTC+03:00,у Астахова Матвея из 9 У есть девушка?
24.12.2024 13:38:35 UTC+03:00,"дайте лс адольфа или где он купил черно фиолетовую толстовку, она пиздатая 🙏🏻"
24.12.2024 13:39:47 UTC+03:00,Кто перепутал рюкзак и унес мой? (Черный такой)
24.12.2024 13:41:07 UTC+03:00,кто спиздил подарок  на тайного санту Васе Бочкареву
24.12.2024 13:48:57 UTC+03:00,"https://t.me/c/2455368652/346бля, а что я тогда в туалете заложил?"
24.12.2024 18:51:53 UTC+03:00,Мне так и не дали юз девочки с полосатыми прядками с 33б
24.12.2024 18:52:09 UTC+03:00,"https://t.me/c/2455368652/347Я, просто он мой краш"
24.12.2024 18:52:18 UTC+03:00,дискотека 11 и 10 сегодня в 16.30
24.12.2024 18:52:26 UTC+03:00,
24.12.2024 18:52:42 UTC+03:00,киньте ответы на кр Оксаны Станиславовны
24.12.2024 21:33:27 UTC+03:00,"Дайте тг девочек постоянно на 1 тусуются, одна в очках с темными волосами, вторая сегодня в темно синей толстовке была"
24.12.2024 21:33:38 UTC+03:00,"верните пожалуйста темно синие спортивные очки, потеряла на дискотеке 10-11 сегодня 💔💔💔"
24.12.2024 21:33:50 UTC+03:00,у кого была самостоятельная по истории внешняя политика скиньте ответы
